COMMUNE,fid,Longitude,Latitude,AIRE_KM2,PC_AGL2010,PLUV_MIN,PLUV_MAX,ALT_MIN,ALT_MAX,POPES2021,Log_Popes2021,DANSI2021,Log_dansi2021,PC_POV,Elvaj_Venal,Log_Elvaj_Venal,Venal_tet,log_Venal_tet,PC_3kmSant,PC_3kmLekol,Log_PC_3kmLekol,Pente_Moy,Lapli_mm,Log_Lapli,LANME,FWONTYE,Risk_Ewo,Dans_wout,log_Dans_wout,km.res$cluster,cluster
La Vallée,436.3333333333333,-72.68801649,18.287944703333334,28.451999999999998,53,4.333333333333333,5,203.33333333333334,980,9449.666666666666,3.9566666666666666,328,2.513333333333333,57.666666666666664,249391.66666666666,5.38,27.75,1.4233333333333333,36.666666666666664,0,-1,25.093333333333334,2023.6666666666667,3.302565508666667,0,0,84,0.5893333333333334,-0.2555,3.3333333333333335,3.3333333333333335
La Victoire,229,-72.02194636,19.35080046,30.3469,64,3,4,350,790,8329,3.92,274,2.44,56,512517,5.71,61.53,1.79,25,0,-1,10.16,1562,3.19368103,0,0,49,1.497,0.1752,4,4
Lascahobas,537,-71.95296524999999,18.860541803333334,85.1592,46.666666666666664,4.333333333333333,5,160,946.6666666666666,27451,4.406666666666666,326.6666666666667,2.4833333333333334,62.333333333333336,1001949.3333333334,5.996666666666666,40.07666666666667,1.5866666666666667,55,12.333333333333334,0.18666666666666668,18.223333333333333,2284.3333333333335,3.357603811,0,0.3333333333333333,59.333333333333336,0.351,-0.5020333333333333,2.6666666666666665,2.6666666666666665
Les Anglais,103.66666666666667,-74.17369523,18.345561013333334,40.00736666666666,41.666666666666664,2.3333333333333335,4.666666666666667,23.333333333333332,1433.3333333333333,7709.333333333333,3.8000000000000003,194,2.2233333333333336,73.33333333333333,582430.3333333334,5.736666666666666,91.65,1.9333333333333333,56.333333333333336,0.6666666666666666,-0.5666666666666667,36.65,1391,3.135188059,0.6666666666666666,0,94.66666666666667,0.13833333333333334,-1.4273,3.3333333333333335,3.3333333333333335
Les Cayes,479.6666666666667,-73.76214657666667,18.267689555,36.357683333333334,71.16666666666667,4,5,21.666666666666668,250,31118.666666666668,4.34,746.1666666666666,2.791666666666667,50.5,857112.5,5.91,46.199999999999996,1.57,20.666666666666668,0,-1,8.285,1970.1666666666667,3.292133577,0.3333333333333333,0,34.166666666666664,1.4728333333333334,0.13585,3.6666666666666665,3.6666666666666665
Les Irois,252,-74.39288090000001,18.391713346666666,42.152433333333335,52.666666666666664,2.6666666666666665,4.333333333333333,0,1096.6666666666667,6198,3.723333333333333,140,2.1433333333333335,66.33333333333333,428036.3333333333,5.593333333333334,75.63333333333333,1.8733333333333333,29.333333333333332,3,0.08666666666666667,31.546666666666667,1528.6666666666667,3.1729355486666666,1,0,97.66666666666667,0.15633333333333332,-0.8582000000000001,3,3
Limbé,452.1666666666667,-72.40955720666666,19.662600291666667,19.827033333333333,63,4.166666666666667,5,53.333333333333336,776.6666666666666,9147.5,3.8516666666666666,590.1666666666666,2.5716666666666668,60.666666666666664,320653,5.486666666666666,64.65333333333334,1.635,35.333333333333336,1.8333333333333333,-0.66,23.683333333333334,2082.5,3.3146703943333335,0,0,76,0.6381666666666667,-0.41031666666666666,3.5,3.5
Limonade,456.3333333333333,-72.11052368333333,19.663269449999998,43.4693,76,2.3333333333333335,3.6666666666666665,10,340,18905.666666666668,4.263333333333334,467.3333333333333,2.64,55.333333333333336,638626,5.783333333333333,33.21666666666667,1.52,7,0,-1,6.653333333333333,1266.6666666666667,3.1022256366666667,0.3333333333333333,0,12.333333333333334,0.83,-0.09176666666666666,4,4
Léogane,482.61538461538464,-72.58133826538462,18.432930434615386,29.296615384615386,46.15384615384615,3.3846153846153846,4.153846153846154,124.61538461538461,746.9230769230769,23906.46153846154,4.167692307692308,696.6923076923077,2.7153846153846155,55.30769230769231,543363.3076923077,5.628461538461538,39.22692307692308,1.4630769230769232,39.38461538461539,3.5384615384615383,-0.2507692307692308,21.934615384615384,1554.4615384615386,3.1816056437692306,0.15384615384615385,0,71.84615384615384,0.7071538461538461,-0.9681923076923077,3.1538461538461537,3.1538461538461537
Maniche,166.66666666666666,-73.74804032,18.36735844,43.47666666666667,57,4.333333333333333,5.666666666666667,50,843.3333333333334,10799.666666666666,4.03,270.3333333333333,2.4033333333333333,62.666666666666664,356244,5.55,33.68333333333333,1.5233333333333334,23.666666666666668,0.6666666666666666,-0.5666666666666667,24.483333333333334,2715.6666666666665,3.4306208103333335,0,0,66.33333333333333,0.24366666666666667,-0.7394666666666667,3.3333333333333335,3.3333333333333335
Marigot,112,-72.304211166,18.284915744,37.96478,41,3.8,4.8,86,1706,10302.6,3.9899999999999998,282.8,2.428,65.8,581368.4,5.708,77.08200000000001,1.718,54.4,0,-1,29.666,1912.6,3.2775901968,0.4,0,70.2,0.569,-0.61468,3.2,3.2
Marmelade,456.6666666666667,-72.37877252,19.524771686666668,37.4121,46.666666666666664,3.6666666666666665,5,440,1053.3333333333333,13572.666666666666,4.13,374,2.5633333333333335,60.666666666666664,317688,5.383333333333334,24.423333333333332,1.2533333333333334,64.66666666666667,0,-1,26.783333333333335,1998,3.297745514333333,0,0,93.66666666666667,0.42,-0.3788666666666667,3,3
Maïssade,424,-72.17755148666666,19.17910589,98.54496666666667,16,3.6666666666666665,4.666666666666667,256.6666666666667,803.3333333333334,26248.333333333332,4.376666666666667,271,2.3966666666666665,65,1375333.3333333333,6.006666666666667,52.72333333333333,1.6333333333333333,46,0.3333333333333333,-0.6666666666666666,8.969999999999999,2018.6666666666667,3.3020045983333333,0,0,31.666666666666668,0.22933333333333333,-0.6817333333333333,3.6666666666666665,3.6666666666666665
Milot,551,-72.21791996666667,19.644521556666668,23.421033333333334,84,3,4.333333333333333,26.666666666666668,446.6666666666667,11578.666666666666,4.0633333333333335,551.3333333333334,2.716666666666667,55.333333333333336,305892.3333333333,5.3566666666666665,26.796666666666667,1.2933333333333332,2,0,-1,10.98,1572.3333333333333,3.1953094803333335,0,0,26.666666666666668,1.7806666666666666,0.2424,4,4
Miragoâne,419.25,-73.070484965,18.36122754,42.319525,53,3.25,4.25,47,550,17452,4.1899999999999995,414.75,2.5875,61,642500.25,5.7925,45.5225,1.5975000000000001,41.5,0,-1,17.035,1643.5,3.215335798,0.25,0,60.25,0.45875,-0.40290000000000004,3.5,3.5
Mirebalais,329.5,-72.0829283475,18.7815896925,81.660475,52,4.25,5,117.5,992.5,27281.5,4.4125,326.25,2.505,62.25,1295871.25,6.1025,53.965,1.6925,39,3.5,-0.12,15.915,2259.25,3.3534275347499998,0,0,60,0.3385,-0.563225,3.75,3.75
